0,1,2,3,4,5,Clusters
2.031429598271819,5.042206680761621,2.2803913842617134,3.0670282477130852,2.0795261697247795,3.571252625202827,0
3.512651622672355,1.6013917618240412,5.459682613841251,2.3666846437117197,3.880064318535695,1.3277023181027972,5
1.772092177706131,5.034113542081732,2.2190927321304947,3.2835870640986657,2.199338434631135,3.2469818997142035,0
3.6215884448720517,1.0218803505473026,5.359475177410966,1.894562567941505,3.574575238844729,1.5535970536502914,1
3.122750781460696,1.9390460707179706,4.46611450917098,1.0686250791904714,2.5627780649570604,1.9605711730293218,3
5.523979742522913,1.527808373032834,7.343844609962708,3.7087663913977087,5.5308351132828495,3.2812711952365756,1
2.8092347349264384,2.380780256398627,4.57400949208435,2.1464831208663657,3.139040945164779,1.2539949995933488,5
2.2796375260403874,4.8497606540654505,1.9548189024463916,2.734787387234337,1.256605297307324,3.605617134419792,4
3.9175872985546065,2.164020219841708,5.659295828498847,2.885457641011403,4.135351376319358,2.0134452626287316,5
1.3232998643788754,4.888338581417068,1.8302697001524597,3.0617942212487272,1.8332018229400262,3.031196758170334,0
4.504634322546327,1.4340406813234285,6.4179509771624605,3.13250691498959,4.768256544674261,2.2115092881523433,1
2.4678765244420675,4.014366082557348,2.883287086135906,2.16203223887739,1.554110106181675,3.048613678838022,4
3.0687355597329105,1.8646444908335034,4.430304365829313,0.9088437544323924,2.504683605126335,1.8742579697040742,3
4.611718583229757,0.97998180416725,6.368193687328095,2.839452251297787,4.576254996949163,2.4356171977361343,1
2.5565134507742013,4.974100174309811,2.2608962816942655,2.9621904927513762,1.6822749803429968,3.7902199107347565,4
2.8643453580301776,4.269024618707713,3.22848040184209,2.605031701420954,2.1285227912719153,3.386206132450824,4
1.567158866618938,4.0624449477174585,2.8081587546349134,2.5411059899135826,2.0467093217702352,2.296668326381884,0
2.375625887092323,3.1827927614895204,3.7465063816577087,1.8670652261740441,2.3333064416334,2.082483805322717,3
1.6237314999543937,5.009734917399709,2.122076492601404,3.2188980771728737,2.1401281213040746,3.204760047621121,0
3.9396083811384943,2.5528975701978767,5.824723268512643,3.00498631336266,4.372636659969653,2.3446172441324906,5
2.6627980195724485,3.076653988188557,3.688650523555416,1.4813329850928085,2.0106730746388344,2.4658276638625134,3
2.4968023656632177,4.053908376350296,2.9467758933020227,2.2097477938105605,1.6534564395279752,3.0902710596900222,4
4.891057098960755,1.2362598210502114,6.4414786832712165,2.827671909998225,4.556417714548569,2.9419521131681416,1
1.871002800750132,3.2481370196261303,3.734944382212609,2.05478527386367,2.5731240818805974,1.6108359234253253,5
3.03374169564522,2.6072810055514903,4.697706681406967,2.4203850592313914,3.3118961476647124,1.6144423411016866,5
1.2479517637554354,4.7838097995734365,1.6958158296307486,2.6180859288534504,1.3435648434374776,3.1749264005458513,0
4.960190146601263,1.4668018520612054,6.495160828975375,2.9434012345365943,4.623399218822922,3.0447647077569715,1
2.5523417314068295,2.9823479142099734,3.6132419554092663,1.2711394996717473,1.8663368145185808,2.3262333307728182,3
2.267761081880861,3.944797983629921,2.7852429402904737,1.9638972955529894,1.3744144887954852,2.943792370982211,4
1.7929698135809213,2.778273687631647,3.3843210125365113,1.0277758354413442,1.7399891055186938,1.4479501269542603,3
3.918651669302667,1.720310333205409,5.528200503919302,2.392963555173398,3.8270889551273855,2.1252502119825114,1
1.2641618650698014,3.737448038188721,2.4082110202683182,1.7304462984941513,1.008411296220527,2.2139424890240313,4
2.2473924891177783,5.975459774549106,1.7833813684322963,4.054218428003117,2.637426739593499,4.175675607209434,2
1.8770529250640924,5.948952233249286,1.7182234251851891,3.9097596052093766,2.6121046269829393,4.116737140178259,2
1.0869288278970606,4.858063966766165,1.7571504255587291,2.981859887121675,1.7623909448040207,2.974775592045859,0
2.0519866997081446,5.860515712830532,1.5221241662974059,3.6548797314129082,2.258174180922438,4.241348036964907,2
2.3302135556853014,4.893372690527928,2.045247180573738,2.788215868531742,1.418437416342121,3.667818890728822,4
4.6383488020563775,1.151127662308663,6.4057444987614645,2.8904656405800355,4.61692711266728,2.4949063889032073,1
1.9404240978804936,3.794635913955576,2.5819484122159135,1.595248067305133,0.8777647003541663,2.7148931502075415,4
3.45085803244074,1.418895284025368,5.410329716603897,2.2658321561409553,3.806583167649017,1.1206825495374835,5
4.613832372492975,1.6301907691314068,6.463984030948948,3.268156455883705,4.826973584307156,2.3643778937915405,1
3.6812880294645245,1.0608950697530115,5.370004787111098,1.9769797604981516,3.583700759516042,1.6161722473018405,1
1.8118527112880198,3.9413861924599214,2.721544836491906,2.1554273008339635,1.5981772648262358,2.5137763697149635,4
3.502646463309304,2.801092422480118,4.906295320400254,2.0374861492523775,3.2959573229769896,2.7807684911980903,3
4.817936298818955,1.1886601689666523,6.436276450826902,2.733629102007232,4.552788766521896,2.9005564930778225,1
3.278970590561991,3.5313812153407658,4.105140994532497,2.376375136898344,2.6491970375424194,3.008945813402828,3
1.7466468127027708,3.1064295597007283,3.6035368155023604,1.9028240411401185,2.3845098989275373,1.353407082094156,5
2.0514325436120755,3.907573067363969,2.7515588442426204,1.766404100821899,1.3071164797666541,2.862972640631992,4
3.6029623718789603,1.6297167429830162,5.462608029692281,2.4637421117043647,3.8822906180665324,1.4255357038440921,5
2.800227203329212,3.1016780083485043,3.7199405158110115,1.658582552707852,2.0393284038222075,2.50426945013976,3
3.731470310040074,1.5156878357084727,5.474681044087456,2.129004198080974,3.7548238054426784,1.893588097545883,1
3.0949774803528034,2.3990232559811773,4.629137833144518,1.9273035651625752,3.0499391691183266,1.9411735214992065,3
